subcategory_id,subcategory
subcats1,food trucks
subcats2,rock
subcats3,web
subcats4,plays
subcats5,documentary
subcats6,electric music
subcats7,drama
subcats8,indie rock
subcats9,wearables
subcats10,nonfiction
subcats11,animation
subcats12,video games
subcats13,shorts
subcats14,fiction
subcats15,photography books
subcats16,radio & podcasts
subcats17,metal
subcats18,jazz
subcats19,translations
subcats20,television
subcats21,mobile games
subcats22,world music
subcats23,science fiction
subcats24,audio
